video_id,comment_text,likes,replies
1zOPtQNChZM,"Love this! ❤️",0,0
1zOPtQNChZM,"That OOTD background tho",0,0
1zOPtQNChZM,"Lush lushness",0,0
1zOPtQNChZM,"I'm so lucky to have stayed there for my honeymoon. The most magical sunsets and evening skies. The landscape is a geological wonder! Btw, Oia is pronounced Ee-yah. Loved your vlog. Xx",0,0
1zOPtQNChZM,"😍😍😍",0,0
1zOPtQNChZM,"That place looks gorgeous!",0,0
1zOPtQNChZM,"#shoitsmash.",0,0
1zOPtQNChZM,"What about thr aegian sea?you are in a greek island and you re swimming in the pool???",0,0
1zOPtQNChZM,"another tip from Aslan travel 101: Read before you leave..📖📚✈✈",0,0
1zOPtQNChZM,"Omg that Gucci bag!!! Love your vlogs!",0,0
1zOPtQNChZM,"Estée, you've never looked more beautiful than in that flowered dress!!! ❤️",0,0
1zOPtQNChZM,"aw fab video!! 😌",0,0
1zOPtQNChZM,"absolutely looooove your dress ❤️💜❤️💜",0,0
1zOPtQNChZM,"In this video, Estee=perma-grin☺",0,0
1zOPtQNChZM,"I really want to know the bgm name of the vlog!",0,0
1zOPtQNChZM,"whys it so dark??",0,0
1zOPtQNChZM,"GORGEOUS",0,0
1zOPtQNChZM,"New de_santorini remake looks decent",0,0
1zOPtQNChZM,"That absolutely says Sexplorer!",0,0
1zOPtQNChZM,"Nice vlog. Nice place. Thank you. Good luck.",0,0
1zOPtQNChZM,"Haha loved the shoit part! Good lookin’ couple 😍",0,0
1zOPtQNChZM,"beautiful..",0,0
1zOPtQNChZM,"omg Aslan's bouche pink velvet shirt is soooooo nice!",0,0
1zOPtQNChZM,"Aslan's crocs though. yasss bisshh slay all day. 9:47",0,0
1zOPtQNChZM,"Wow, Santorini is stunning!!! 💦💦💦",0,0
1zOPtQNChZM,"I love how excited you sound about our little island!! Santorini is very unique but if you enjoyed it you should definetly come back to see other places. Kyklades have many to offer but they are in a way all the same, so I would suggest to visit Agistri, Spetses, Corfu or Samothraki. I hope you didn't have any unpleasant experience, because Greek businessman in islands usally overcharge foreign tourists. Btw Aslan mispronounced Oia but he did it in a very cute way 😛 Anywayy love you and you both looked beautiful in your matching outfits and your sunsetie light ❤",0,0
1zOPtQNChZM,"I get what you mean about smells. I am Albanian and to me south Albania by the Ionian coast has a such a beautiful smell. Woodsy and sweet. Its from a plant that grows on the mountains, don't know what it is in English.",0,0
1zOPtQNChZM,"kisses from greece!!! thanks for visiting and show our country to the world! i also promote you here hahaha take care and keep going the good work",0,0
1zOPtQNChZM,"Quick question: \nWhat mic did you all used to capture the audio, it’s so crisp and clear! :) unless that was just how you mixed it in editing",0,0
